,AMOUNT
0,134500
1,160000
2,149500
3,174000
4,130000
5,117000
6,130000
7,139500
8,107500
9,145000
10,112000
11,160000
12,160000
13,124000
14,141000
15,155000
16,157000
17,151500
18,144000
19,162750
20,160000
21,150000
22,165000
23,120000
24,165000
25,165000
26,169800
27,178000
28,146000
29,155400
30,195000
31,200000
32,220000
33,215000
34,220000
35,220000
36,216000
37,188200
38,188200
39,193000
40,195000
41,195000
42,193000
43,245000
44,198500
45,198500
46,180000
47,180000
48,205000
49,210000
50,210000
51,185000
52,250000
53,199500
54,285000
55,275000
56,310000
57,278000
58,253000
59,210000
60,297000
61,272000
62,224900
63,185000
64,220000
65,369000
66,420000
67,203500
68,210000
69,195000
70,210000
71,225000
72,160000
73,160000
74,234000
75,165000
76,170000
77,240000
78,197000
79,157000
80,174000
81,174000
82,230000
83,240000
84,182000
85,265000
86,187000
87,220000
88,270000
89,268500
90,270000
91,195500
92,280000
93,210000
94,260000
95,218000
96,265000
97,220000
98,220000
99,220000
100,220000
101,145000
102,145000
103,323000
104,225000
105,289000
106,365000
107,245000
108,249500
109,162000
110,153500
111,175000
112,158000
113,171000
114,162000
115,175000
116,200000
117,179000
118,211000
119,174000
120,213000
121,202500
122,194000
123,202500
124,195000
125,215000
126,202000
127,218000
128,203000
129,206000
130,252000
131,220000
132,240000
133,240000
134,239500
135,200000
136,270000
137,260000
138,239850
139,260000
140,200000
141,254000
142,246000
143,303000
144,155000
145,157000
146,140000
147,155000
148,140000
149,125000
150,137000
151,133000
152,130000
153,129000
154,160000
155,152000
156,125000
157,165000
158,125000
159,133000
160,167000
161,185000
162,190000
163,197500
164,150000
165,141000
166,176000
167,153500
168,134500
169,158000
170,130000
171,175500
172,127300
173,180000
174,171000
175,150000
176,174700
177,170900
178,154000
179,155000
180,181000
181,182000
182,159500
183,151000
184,181000
185,195000
186,194000
187,195000
188,155000
189,186000
190,155000
191,187000
192,165000
193,167000
194,195000
195,177000
196,198000
197,170000
198,175000
199,186000
200,157000
201,177000
202,189000
203,167500
204,185000
205,180000
206,172000
207,200000
208,190000
209,220000
210,215000
211,190000
212,205000
213,189000
214,215000
215,210000
216,220000
217,222000
218,209500
219,193000
220,230000
221,184000
222,184000
223,230000
224,215000
225,177000
226,187000
227,180000
228,180000
229,190000
230,210000
231,205000
232,205000
233,207000
234,200000
235,270000
236,273000
237,280000
238,273000
239,279500
240,285000
241,135400
242,129000
243,160000
244,153000
245,150000
246,124700
247,167000
248,135000
249,124000
250,151000
251,128000
252,150000
253,131300
254,132000
255,118500
256,150000
257,153100
258,161000
259,168000
260,165000
261,137000
262,150000
263,194500
264,178000
265,172500
266,164500
267,160000
268,163000
269,135000
270,130000
271,118000
272,152000
273,133000
274,118000
275,135800
276,165000
277,138000
278,127000
279,134500
280,181000
281,150000
282,170000
283,189000
284,179000
285,159000
286,181000
287,146500
288,191000
289,182000
290,158000
291,155300
292,184500
293,190000
294,181000
295,150000
296,160000
297,197000
298,189000
299,160000
300,205000
301,189000
302,163000
303,165000
304,220000
305,169000
306,180000
307,167700
308,157000
309,158500
310,200000
311,167500
312,175000
313,150000
314,146000
315,165000
316,171500
317,180000
318,205000
319,205000
320,193000
321,210000
322,77500
323,163000
324,194000
325,209000
326,195000
327,195000
328,185000
329,220000
330,203000
331,230000
332,182000
333,188000
334,221000
335,177000
336,177000
337,204000
338,204000
339,234500
340,230000
341,225000
342,178000
343,180000
344,165000
345,225000
346,178000
347,200000
348,240500
349,226000
350,260000
351,285000
352,280000
353,270000
354,125000
355,155000
356,163000
357,158000
358,143500
359,141500
360,167000
361,150000
362,171000
363,128000
364,120400
365,115500
366,151000
367,130000
368,165000
369,127500
370,125000
371,153000
372,141000
373,176000
374,137000
375,181000
376,144000
377,142000
378,175000
379,162000
380,160000
381,132000
382,132000
383,130500
384,114000
385,165000
386,124000
387,139000
388,174000
389,170000
390,142000
391,143000
392,150500
393,139000
394,184000
395,150000
396,148000
397,140000
398,172000
399,172000
400,160000
401,161500
402,130000
403,176000
404,185000
405,152000
406,158000
407,189000
408,147500
409,148000
410,190000
411,161500
412,180000
413,162000
414,150000
415,165000
416,200000
417,170000
418,165500
419,170000
420,170000
421,171000
422,154500
423,144500
424,150000
425,180000
426,195000
427,183000
428,202000
429,179500
430,173000
431,180000
432,205000
433,175000
434,185000
435,230000
436,185000
437,185000
438,204500
439,207000
440,240000
441,200000
442,175000
443,249000
444,240000
445,200000
446,180000
447,235000
448,235000
449,206000
450,275000
451,260000
452,225000
453,287000
454,280000
455,211500
456,265000
457,125000
458,117500
459,149000
460,160000
461,192000
462,200000
463,166000
464,220000
465,165000
466,242000
467,165000
468,161000
469,160000
470,193000
471,165000
472,209000
473,208000
474,163000
475,210000
476,230000
477,165000
478,220000
479,246000
482,220000
483,203000
484,288000
488,197000
490,200000
498,215000
499,210000
502,265000
503,268000
504,260000
505,265000
509,268000
510,298000
513,235000
515,320000
517,343000
518,230000
519,210000
520,205500
521,225000
522,230000
523,200000
524,235000
525,210000
526,230000
527,234000
528,257000
529,229500
530,240000
531,246000
532,210000
533,257000
534,222000
535,282500
536,260000
537,247000
538,279000
539,270000
540,315000
541,270000
542,327000
543,332000
544,300000
545,230000
546,325000
547,303000
548,303000
549,323000
550,328000
551,380000
552,380000
553,400000
554,49700
555,60700
556,62000
557,62000
558,71400
559,61000
560,165000
561,240000
562,235000
563,259000
564,234000
565,253000
566,285000
567,228000
568,229000
569,189000
570,221000
571,188000
572,227000
573,207000
574,205000
575,283000
576,264000
577,196500
578,259000
579,270000
580,260000
581,280000
582,270000
583,309000
584,289000
585,172500
586,217000
587,217000
588,284000
589,265000
590,210000
591,274000
592,264000
593,274000
594,215000
595,258000
596,213000
597,266000
598,259000
599,244000
600,218000
601,398000
602,182000
603,215000
604,215000
605,286000
606,342000
607,285000
608,233000
609,226000
610,235000
611,300000
612,340000
613,230500
614,299500
615,265000
616,312000
617,230000
618,235000
619,590000
620,305000
621,238000
622,227000
623,430000
624,245000
625,230000
626,126000
627,231700
628,204000
629,134000
630,185000
631,160000
632,252000
633,197000
634,208000
635,185000
636,205000
637,200000
638,158000
639,165000
640,149000
641,140000
642,197000
643,220000
644,182000
645,230000
646,262000
647,255000
648,179500
649,184000
650,270000
651,140000
652,235000
653,230000
654,280000
655,185000
656,235000
657,147000
658,254000
659,282000
660,123000
661,300000
662,148000
663,255000
664,232000
665,338000
666,235000
667,285000
668,240000
669,307000
670,148000
671,190000
672,270000
673,237000
674,237000
675,291000
676,252000
677,259000
678,244000
679,146000
680,190000
681,243000
682,195000
683,189000
684,145000
685,300000
686,190000
687,198000
688,200000
689,245000
690,262000
691,335000
692,270000
693,249000
694,188000
695,175000
696,244000
697,243000
698,263000
699,180000
700,185000
701,230000
702,251000
703,300000
704,230000
705,243000
706,251000
707,189000
708,260000
709,155000
710,155000
711,280000
712,270000
713,310000
714,290000
715,196000
716,264000
717,248000
718,280000
719,200000
720,200000
721,355000
722,265000
723,280000
724,200000
725,315000
726,197000
727,296500
728,299000
729,270000
730,195000
731,184000
732,300000
733,210000
734,265000
735,210000
736,200000
737,267000
738,277000
739,173000
740,251000
741,210000
742,195000
743,277000
744,199000
745,214500
746,204500
747,268000
748,207500
749,275000
750,280000
751,360000
752,285000
753,436000
754,282000
755,289000
756,227000
757,224500
758,219000
759,219000
760,225000
761,230000
762,298000
763,293000
764,179000
765,295000
766,320000
767,230000
768,316000
769,300000
770,200000
771,228500
772,360000
