MAIN_ROAD,CITY_DISTRICT,ADDRESS,BUILD_1ST_NUM,BUILD_2ND_NUM,COMPLEX_NAME,AREA,CONTRACT_YEAR_MONTH,CONTRACT_DAY,AMOUNT,FLOOR,CONSTRUCTION_YEAR,ROAD_NAME,TERMINATION_DATE,TRANSACTION_TYPE,BROKER_LOCATION,ROAD_NUM
,210,210,210,210,210,210,210,210,210,210,210,210,7,210,210,210
4.19로,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4
4.19로11길,8,8,8,8,8,8,8,8,8,8,8,8,0,8,8,8
4.19로1길,6,6,6,6,6,6,6,6,6,6,6,6,2,6,6,6
4.19로9길,25,25,25,25,25,25,25,25,25,25,25,25,1,25,25,25
63로,248,248,248,248,248,248,248,248,248,248,248,248,3,248,248,248
가락로,178,178,178,178,178,178,178,178,178,178,178,178,2,178,178,178
가락로31길,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2
가락로34길,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
가락로36길,9,9,9,9,9,9,9,9,9,9,9,9,0,9,9,9
가락로38길,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2
가락로39길,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2
가락로3길,13,13,13,13,13,13,13,13,13,13,13,13,0,13,13,13
가락로5길,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
가로공원로,30,30,30,30,30,30,30,30,30,30,30,30,0,30,30,30
가로공원로56길,37,37,37,37,37,37,37,37,37,37,37,37,0,37,37,37
가로공원로61길,7,7,7,7,7,7,7,7,7,7,7,7,0,7,7,7
가로공원로64길,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3
가로공원로77길,7,7,7,7,7,7,7,7,7,7,7,7,0,7,7,7
가마산로,889,889,889,889,889,889,889,889,889,889,889,889,22,889,889,889
가마산로19길,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,7
가마산로20다길,25,25,25,25,25,25,25,25,25,25,25,25,1,25,25,25
가마산로26길,49,49,49,49,49,49,49,49,49,49,49,49,0,49,49,49
가마산로27길,101,101,101,101,101,101,101,101,101,101,101,101,2,101,101,101
가마산로50길,17,17,17,17,17,17,17,17,17,17,17,17,0,17,17,17
가마산로79길,135,135,135,135,135,135,135,135,135,135,135,135,0,135,135,135
가산로,325,325,325,325,325,325,325,325,325,325,325,325,3,325,325,325
가산로3길,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4
가산로5길,6,6,6,6,6,6,6,6,6,6,6,6,0,6,6,6
가산로7길,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
가산로9길,16,16,16,16,16,16,16,16,16,16,16,16,1,16,16,16
가재울로,259,259,259,259,259,259,259,259,259,259,259,259,1,259,259,259
가재울로6길,11,11,11,11,11,11,11,11,11,11,11,11,1,11,11,11
가재울미래로,811,811,811,811,811,811,811,811,811,811,811,811,2,811,811,811
가좌로,400,400,400,400,400,400,400,400,400,400,400,400,7,400,400,400
가좌로10길,8,8,8,8,8,8,8,8,8,8,8,8,0,8,8,8
